game_id,move_index,player,source,move,winner,board_before
1779269173,8,X,human,112,X,.......................................................O.............O.............O...........X.X.............X.............O.X.................................................................................................
1779269173,9,O,computer,27,X,.......................................................O.............O.............O...........X.X.............XX............O.X.................................................................................................
1779269173,10,X,human,82,X,...........................O...........................O.............O.............O...........X.X.............XX............O.X.................................................................................................
1779269173,11,O,computer,13,X,...........................O...........................O.............O............XO...........X.X.............XX............O.X.................................................................................................
1779269173,12,X,human,41,X,.............O.............O...........................O.............O............XO...........X.X.............XX............O.X.................................................................................................
1779269173,13,O,computer,139,X,.............O.............O.............X.............O.............O............XO...........X.X.............XX............O.X.................................................................................................
1779269173,14,X,human,67,X,.............O.............O.............X.............O.............O............XO...........X.X.............XX............O.X...........O.....................................................................................
1779269214,0,X,human,112,X,.................................................................................................................................................................................................................................
1779269214,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779269214,2,X,human,127,X,..........O.....................................................................................................X................................................................................................................
1779269214,3,O,computer,113,X,..........O.....................................................................................................X..............X.................................................................................................
1779269214,4,X,human,97,X,..........O.....................................................................................................XO.............X.................................................................................................
1779269214,5,O,computer,82,X,..........O......................................................................................X..............XO.............X.................................................................................................
1779269214,6,X,human,111,X,..........O.......................................................................O..............X..............XO.............X.................................................................................................
1779269214,7,O,computer,142,X,..........O.......................................................................O..............X.............XXO.............X.................................................................................................
1779269214,8,X,human,96,X,..........O.......................................................................O..............X.............XXO.............X..............O..................................................................................
1779269214,9,O,computer,52,X,..........O.......................................................................O.............XX.............XXO.............X..............O..................................................................................
1779269214,10,X,human,81,X,..........O.........................................O.............................O.............XX.............XXO.............X..............O..................................................................................
1779269214,11,O,computer,37,X,..........O.........................................O............................XO.............XX.............XXO.............X..............O..................................................................................
1779269214,12,X,human,66,X,..........O..........................O..............O............................XO.............XX.............XXO.............X..............O..................................................................................
1779269214,13,O,computer,157,X,..........O..........................O..............O.............X..............XO.............XX.............XXO.............X..............O..................................................................................
1779269214,14,X,human,51,X,..........O..........................O..............O.............X..............XO.............XX.............XXO.............X..............O..............O...................................................................
1779269397,0,X,human,112,X,.................................................................................................................................................................................................................................
1779269397,1,O,computer,127,X,................................................................................................................X................................................................................................................
1779269397,2,X,human,111,X,................................................................................................................X..............O.................................................................................................
1779269397,3,O,computer,113,X,...............................................................................................................XX..............O.................................................................................................
1779269397,4,X,human,96,X,...............................................................................................................XXO.............O.................................................................................................
1779269397,5,O,computer,128,X,................................................................................................X..............XXO.............O.................................................................................................
1779269397,6,X,human,126,X,................................................................................................X..............XXO.............OO................................................................................................
1779269397,7,O,computer,125,X,................................................................................................X..............XXO............XOO................................................................................................
1779269397,8,X,human,141,X,................................................................................................X..............XXO...........OXOO................................................................................................
1779269397,9,O,computer,129,X,................................................................................................X..............XXO...........OXOO............X...................................................................................
1779269397,10,X,human,81,X,................................................................................................X..............XXO...........OXOOO...........X...................................................................................
